sh;st0;st1;st2;st3;st4;st5;st6;st7;st8;st9;st10;st11;st12;st13
2341.74;0;9.52;15.77;9.11;9.35;4.45;18.56;42.1;11.68;15.7;14.57;19.2;15.55;16.15
2507.46;0;10.55;13.42;10.13;9.57;4.08;17.7;36.22;11.57;15.7;14.77;17.52;16.13;16.15
2472.29;0;10.18;16.15;11.67;9.94;4.36;17.25;40.38;11.29;15.7;14.67;19.15;16.57;16.15
2409.04;0;9.56;19.08;12.25;10.04;4.46;17.87;42.18;10.3;15.7;13.7;19.64;17.14;16.15
2472.54;0;9.84;17.36;13.07;11.97;4.31;18.6;38.89;11.47;15.7;13.08;18.75;18.03;16.15
2471.32;0;9.67;17.57;14.21;13.48;5.08;18.39;39.09;11.46;15.7;12.86;20.86;19.75;16.15
2365.95;0;9.34;14.08;12.15;13.31;5.04;19.19;36.8;11.18;14.12;12.61;23.03;16.56;16.15
2380.45;0;9.13;12.47;11.96;12.11;4.94;18.06;36.26;11.25;12.16;13.41;21.08;17.09;16.15
2315.89;0;8.9;11.89;11.67;13.09;4.81;17.39;35.37;10.36;9.42;13.74;20.7;15.84;16.15
2428.9;0;9.85;12.51;11.48;13.31;5.2;18.6;37.3;10.26;9.25;14.28;24.83;16.42;16.15
2388.63;0;10.31;13.6;11.48;12.52;5.2;18.6;36.29;9.35;12.04;13.1;25.25;17.02;15.66
2418.79;0;10.09;12.93;10.58;11.43;5.24;20.9;37.3;10.21;11.82;13.45;25.01;15.9;14.1
2450.87;0;9.98;12.38;10.86;11.81;5.31;21.19;36.13;9.85;11.45;13.95;23.8;16.12;13.83
2367.92;0;9.66;12.73;11.76;11.14;5.7;20.14;35.99;10.04;11.27;13.2;23.84;16.01;14.72
2284.6;0;9.39;12.68;12.33;10.38;5.67;20.53;34.45;9.57;9.88;12.62;24.85;15.1;14.26
2299.46;0;9.44;15.02;13.13;11.01;5.39;22.46;34.67;9.47;10.58;12.54;25.49;15.1;15.76
2238;0;9.18;14.89;12.96;11.52;5.3;20.7;36.91;8.59;10.1;12.51;25;15.1;16.48
2212.85;0;8.88;15.45;14.11;11.27;6.12;20.7;32.51;8.21;10.89;12.25;24.65;15.1;17.42
2187.41;0;8.76;17.5;14.29;12.83;6.5;20.65;31.14;8.35;11.85;12.31;22.59;15.1;17.81
2219.86;0;8.92;16.34;16.75;14.08;7.06;23.09;29.88;9.74;11.77;13.03;23.81;15.1;19.33
2285.56;0;9.67;16.46;16.13;14.95;7;25;31.3;9.95;11.99;14.66;26.09;15.1;19.52
2282.44;0;9.63;16.12;16.33;14.38;7.12;25.48;30.23;9.67;11.93;14.6;26.39;15.1;18.29
2157.91;0;8.92;15.1;18.84;13.59;9.88;22.8;27.83;8.36;10.33;13.01;24.3;15.1;17.93
2184.27;0;9.15;15.77;19.04;13.99;9.78;22.19;25.77;9.66;10.49;14.69;22.16;15.1;17.06
2108.66;0;8.41;14.76;17.83;13.24;9.36;20.84;25.43;10.6;9.78;13.3;20.6;15.1;15.42
2138.13;0;8.61;14.86;18.42;13.89;10.37;20.23;27.54;11.06;10.14;13.69;21.57;15.1;15.94
2174.44;0;8.68;13.23;16.23;13.43;9.56;18.65;25.27;13.77;10.33;13.21;20.3;15.1;14.94
2163.12;0;8.43;11.92;15.9;13.26;9.66;19.68;26.63;13.67;9.71;13.01;18.95;15.1;14.1
2238.62;0;8.88;12.41;16.04;12.82;9.57;19.79;28.68;14.41;10.36;13.56;20.53;15.1;15.33
2232.53;0;8.9;12.9;15.94;12.54;9.52;20.78;27.99;14.51;10.51;13.05;20.57;15.1;14.93
2194.67;0;8.88;12.3;14.92;12.16;9.76;19.92;29.24;12.42;10.02;12.48;21.33;15.1;15.38
2158.66;0;8.49;11.97;13.96;12.2;7.92;19.67;27.7;12.23;9.49;11.77;20.16;15.1;14.85
2133.91;0;8.55;11.46;12.51;11.89;7.4;18.55;27.51;12.04;9.29;11.68;19.75;15.1;15.04
2145.95;0;9.06;11.25;11.88;11.79;7.21;17.98;27.46;12.38;9.43;11.69;19.65;15.1;13.51
2148.41;0;8.78;12.68;13.02;12.97;7.89;18.22;26.93;12.84;9.38;11.73;20.65;24.36;14.8
2156.46;0;9.18;13.18;13.73;12.99;8.08;19.41;26.62;12.97;9.26;11.97;24.01;29.28;15.68
2134.28;0;8.82;13.58;14.13;12.98;7.9;18.06;26.62;12.3;10.16;11.93;22.32;31.35;15.47
2191.86;0;9.4;13.85;14.4;13.01;8.65;18.88;28.03;13.09;10.11;11.96;24.3;43.18;15.99
2134.11;0;10.04;13.1;13.95;13.01;8.34;18.1;26.41;12.24;10.04;11.35;23.01;43.35;15.93
2165.12;0;10.53;15.75;15.44;13.01;8.48;19.96;26.66;12.19;10.14;11.88;23.75;59;16.31
2176.29;0;10.53;14.91;14.79;13.01;8.76;19.86;26.3;12.35;10.37;11.85;24.79;65.96;14.51
2171.76;0;10.86;14.11;16.06;13.01;7.38;20.08;24.9;11.98;10.27;13.02;24.28;67.77;14.08
2166.3;0;10.31;14.78;13.23;13.01;7.45;21.09;23.83;13.63;10.09;12.93;22.95;61.24;13.29
2323.9;0;10.79;14.04;13.68;13.01;7.29;20.1;24.83;14.3;10.62;13.46;23.4;58.81;13.88
2375.62;0;12.33;14.04;13.47;13.01;8.02;21.22;25.8;13.3;10.93;14.36;24.19;58.21;14.11
2365.35;0;12.65;14.04;14.8;13.01;8.76;21.85;26.6;13.57;11.52;15.72;24.39;57.3;15.36
2374.56;0;12.32;14.04;15.13;14.73;8.76;22.62;27.27;13.02;11.91;15.82;25.92;55.34;15.66
2342.86;0;12.18;14.04;15.07;14.94;8.76;22.83;27.46;12.69;11.49;15.4;28.48;58.78;15.61
2355.32;0;13.8;14.04;15.97;15.23;8.76;23;27.71;12.49;11.2;15.98;29.33;60.68;15.97
2445.22;0;14.48;14.04;16.79;15.27;8.9;23.62;28.7;13.03;12.12;16.24;30.54;60.85;15.88
2388.77;0;14.9;14.04;15.73;15.1;8.74;22.5;27.04;12.44;11.68;15.25;29.48;60.28;15.51
2399.46;0;15.79;14.04;17.08;14.98;8.35;24.08;27.99;12.31;11.55;15.48;29.45;56.58;15.3
2450.99;0;15.79;14.04;17.5;15.53;9.12;25.04;27.55;12.22;11.6;16.23;33.82;56.45;16.69
2446.56;0;15.79;14.04;16.38;18.4;10.1;24;27.12;12.68;12.05;16.95;32.8;61.12;16.91
2433.39;0;16;14.04;17.88;17.81;9.8;25.18;27.28;12.27;12.18;16.27;32.86;55.4;16.25
2416.65;0;16.06;14.04;21.2;17.98;10.04;25.35;27.2;12.1;12.04;15.96;33.05;54.75;16.99
2513.17;0;15.79;15.64;20.7;16.97;8.97;25.86;27.71;13.36;12.7;16.02;31.84;53.63;16.51
2558.61;0;15.65;14.26;19.25;16.13;8.14;24.66;25.84;13.68;12.23;16.3;29.32;53.69;15.83
2541.42;0;14.89;15.32;18.59;16.2;8.76;24.9;25.88;14.52;12.16;16.15;29.54;54.29;15.64
2685.56;0;15.18;15.4;19.02;16.23;8.34;25.98;26.57;16.3;12.53;16.61;29.3;54.29;16.01
2923.94;0;14.97;17.34;16.93;16.75;8.29;25.8;26.53;18.38;12.28;17.81;28.55;54.29;14.99
3106.91;0;19.31;16.17;16.24;15.49;7.73;24.98;25.67;15.74;11.67;16.35;28.02;54.29;15.67
3303.4;0;18.57;18.88;18.6;17.1;8.6;29.3;26.36;17.99;11.96;17.19;29.4;43.97;16.39
3324.92;0;16.79;16.2;16.78;15.5;7.8;26.48;24.75;16.61;11.18;15.5;25.83;31.85;15.1
3457.55;0;18.8;16.78;18.53;14.64;7.89;26.04;24.32;19.52;11.41;15.01;24.49;30.65;14.06
3559.26;0;21.55;18.46;18.8;15.04;7.74;25.05;26.11;20.6;11.53;15.15;25.06;33.41;15.09
3604.12;0;21.31;18.55;17.87;15.06;7.94;23.8;29.2;23.13;12.19;15.35;29.13;35.19;16.97
3567.61;0;25.86;22.23;21.16;15.94;8.98;25.4;30.64;24.56;12.51;15.91;30.59;39.71;18.24
3481.8;0;24.98;21.21;23.5;15.39;9.4;26.42;29.27;22.91;14.88;16.51;31.84;36.06;17.33
3366.95;0;24.63;21.38;24.55;15.78;9.7;24.4;28.2;22.89;15.54;16.9;30.53;35.28;18.33
3442.87;0;24.21;20.38;23.37;16.32;9.68;25.12;28.7;22.89;14.71;17.93;31.83;33.83;19.46
3566.3;0;26.12;21.15;24.18;17.18;9.92;28.24;30.56;24;15.49;18.61;33.83;37.15;19.7
3496.34;0;26.11;24.49;26.96;19.43;9.92;28.95;30.14;21.73;14.95;18.7;33.68;36.5;19.37
3592.84;0;26.07;23.97;24.66;17.9;9.92;29;31.01;22.2;15.03;18.1;34.72;42.32;19.73
3839.74;0;27.01;25.34;28.09;19.1;9.92;29.33;31.7;23.94;16.86;19.51;35.43;43.02;20.59
3950;0;26.88;25.34;29.14;18.62;9.92;29.92;31.86;24.99;16.87;18.75;38.8;44;24.66
4124.78;0;27.1;26;29.76;20.09;9.92;30.61;35.31;27.53;18.3;21.03;38.8;46.05;27.86
4344.42;0;27.06;25.92;28.31;19.47;9.92;31.53;34.09;27.76;18.25;20.57;38.8;43.04;26.85
4596.14;0;27.88;31.35;27.25;18.73;9.92;30.07;33.48;27.61;17.01;21.55;38.8;42.45;24.63
4702.64;0;31;35.56;28.25;19.41;9.92;31.72;34.99;30.44;18.32;22.95;41.79;47.32;24.92
4787.74;0;35.74;37.46;28.13;19.68;14.53;36.5;32.26;33.69;17.48;24.26;37.2;46.5;24.45
4690.53;0;32.9;34.49;31.77;21.39;16.07;36.55;35.41;29.94;17.82;22.9;39.15;45.44;25.67
4575.14;0;32.92;33.51;37.27;23.29;18.1;37.6;34.67;28.38;19.74;22.82;44.01;49.8;26.15
5099.5;0;39.5;36.01;40.35;23.92;24.35;47.6;38.79;31.87;24.18;25.75;53.55;56.07;30.78
